run_key,dataset_name,seed,setting_id,setting_name,model_name,label_noise,missing_rate,imbalance_level,missing_mechanism,fit_eval_seconds,train_rows_after_corruption,n_label_flips_before_sampling,accuracy,balanced_accuracy,macro_f1,weighted_f1,mcc,minority_recall
pc1__seed4__setting7__HistGradientBoosting__mnar,pc1,4,7,all_three,HistGradientBoosting,0.2,0.2,0.8,mnar,0.4432,779,166,0.8741007194244604,0.5178825441983337,0.5174329216882408,0.8755930533062021,0.034926987959861974,0.10526315789473684
pc1__seed4__setting7__XGBoost__mnar,pc1,4,7,all_three,XGBoost,0.2,0.2,0.8,mnar,0.2322,779,166,0.9100719424460432,0.5128022759601707,0.5134075474340125,0.8926882438598586,0.03864710677424527,0.05263157894736842
pc1__seed4__setting7__LightGBM__mnar,pc1,4,7,all_three,LightGBM,0.2,0.2,0.8,mnar,0.2335,779,166,0.9028776978417267,0.5820971347287136,0.5883740060323553,0.8989949362144505,0.17789921891362157,0.21052631578947367
wdbc__seed0__setting0__LogisticRegression__mnar,wdbc,0,0,clean,LogisticRegression,0.0,0.0,natural,mnar,0.0321,426,0,0.986013986013986,0.9811320754716981,0.9848901098901099,0.9859563513409668,0.9702295424554555,0.9622641509433962
wdbc__seed0__setting0__LinearSVM__mnar,wdbc,0,0,clean,LinearSVM,0.0,0.0,natural,mnar,0.0219,426,0,0.972027972027972,0.9622641509433962,0.9695225916453538,0.9717835446735703,0.9408435959389154,0.9245283018867925
wdbc__seed0__setting0__KNN__mnar,wdbc,0,0,clean,KNN,0.0,0.0,natural,mnar,0.0241,426,0,0.9370629370629371,0.9383647798742139,0.9332918675167159,0.937395678493486,0.8675034270773535,0.9433962264150944
wdbc__seed0__setting0__DecisionTree__mnar,wdbc,0,0,clean,DecisionTree,0.0,0.0,natural,mnar,0.0324,426,0,0.9440559440559441,0.9516771488469602,0.9412972085385878,0.944589892865755,0.8862406283421417,0.9811320754716981
wdbc__seed0__setting0__RandomForest__mnar,wdbc,0,0,clean,RandomForest,0.0,0.0,natural,mnar,0.6032,426,0,0.958041958041958,0.9627882599580713,0.9556818181818182,0.958328035600763,0.9130296158630548,0.9811320754716981
wdbc__seed0__setting0__ExtraTrees__mnar,wdbc,0,0,clean,ExtraTrees,0.0,0.0,natural,mnar,0.4318,426,0,0.958041958041958,0.958909853249476,0.9553682896379525,0.9581947390936154,0.911158407526304,0.9622641509433962
wdbc__seed0__setting0__HistGradientBoosting__mnar,wdbc,0,0,clean,HistGradientBoosting,0.0,0.0,natural,mnar,0.3398,426,0,0.986013986013986,0.9811320754716981,0.9848901098901099,0.9859563513409668,0.9702295424554555,0.9622641509433962
wdbc__seed0__setting0__XGBoost__mnar,wdbc,0,0,clean,XGBoost,0.0,0.0,natural,mnar,0.2205,426,0,0.951048951048951,0.9533542976939203,0.9481158969574457,0.9513077499393782,0.8971669828095538,0.9622641509433962
wdbc__seed0__setting0__LightGBM__mnar,wdbc,0,0,clean,LightGBM,0.0,0.0,natural,mnar,0.2067,426,0,0.965034965034965,0.9644654088050315,0.9626690335717643,0.9651006853533873,0.925445136208044,0.9622641509433962
wdbc__seed0__setting1__LogisticRegression__mnar,wdbc,0,1,noise_only,LogisticRegression,0.2,0.0,natural,mnar,0.032,426,85,0.8951048951048951,0.8856394129979036,0.8871349644830308,0.8948951600885302,0.7743694843115938,0.8490566037735849
wdbc__seed0__setting1__LinearSVM__mnar,wdbc,0,1,noise_only,LinearSVM,0.2,0.0,natural,mnar,0.0247,426,85,0.9300699300699301,0.9211740041928722,0.9244505494505495,0.9297817567048337,0.8493207628727713,0.8867924528301887
wdbc__seed0__setting1__KNN__mnar,wdbc,0,1,noise_only,KNN,0.2,0.0,natural,mnar,0.0211,426,85,0.8671328671328671,0.8750524109014675,0.8618357487922705,0.8688355123137732,0.7310427804690545,0.9056603773584906
wdbc__seed0__setting1__DecisionTree__mnar,wdbc,0,1,noise_only,DecisionTree,0.2,0.0,natural,mnar,0.0339,426,85,0.7202797202797203,0.7196016771488469,0.7099391480730223,0.7241095618377564,0.42727705298863006,0.7169811320754716
wdbc__seed0__setting1__RandomForest__mnar,wdbc,0,1,noise_only,RandomForest,0.2,0.0,natural,mnar,0.624,426,85,0.958041958041958,0.958909853249476,0.9553682896379525,0.9581947390936154,0.911158407526304,0.9622641509433962
