run_key,dataset_name,seed,setting_id,setting_name,model_name,variant,label_noise,missing_rate,imbalance_level,fit_eval_seconds,train_rows_after_corruption,n_label_flips_before_sampling,accuracy,balanced_accuracy,macro_f1,weighted_f1,mcc,minority_recall
balance_scale__seed0__setting4__LogisticRegression__tuned,balance_scale,0,4,noise_missing,LogisticRegression,tuned,0.2,0.2,natural,0.0325,468,94,0.7898089171974523,0.5700152207001522,0.5476242770334578,0.7586122959454186,0.6168156605183435,0.0
balance_scale__seed0__setting4__RandomForest__default,balance_scale,0,4,noise_missing,RandomForest,default,0.2,0.2,natural,0.5675,468,94,0.6305732484076433,0.4554794520547945,0.4671238402581686,0.6469451674319057,0.37433070121521106,0.0
balance_scale__seed0__setting4__RandomForest__tuned,balance_scale,0,4,noise_missing,RandomForest,tuned,0.2,0.2,natural,0.5564,468,94,0.7261146496815286,0.5243531202435312,0.5099313831708198,0.7064060009247055,0.5051864032844297,0.0
balance_scale__seed0__setting4__XGBoost__default,balance_scale,0,4,noise_missing,XGBoost,default,0.2,0.2,natural,0.3329,468,94,0.7197452229299363,0.5660832064941653,0.5648022171831696,0.7252581712090357,0.5137770440364539,0.16666666666666666
balance_scale__seed0__setting4__XGBoost__tuned,balance_scale,0,4,noise_missing,XGBoost,tuned,0.2,0.2,natural,0.2116,468,94,0.7261146496815286,0.5475012683916793,0.5465268784047692,0.7235565087763748,0.5167652397422057,0.08333333333333333
balance_scale__seed0__setting4__LightGBM__default,balance_scale,0,4,noise_missing,LightGBM,default,0.2,0.2,natural,0.2987,468,94,0.7133757961783439,0.53824200913242,0.5380294308865737,0.713182177240412,0.49549554109133626,0.08333333333333333
balance_scale__seed0__setting4__LightGBM__tuned,balance_scale,0,4,noise_missing,LightGBM,tuned,0.2,0.2,natural,0.1859,468,94,0.7133757961783439,0.5383688483003551,0.5376227648468116,0.7125102284037809,0.4961356356899004,0.08333333333333333
balance_scale__seed0__setting5__LogisticRegression__default,balance_scale,0,5,noise_imbalance,LogisticRegression,default,0.2,0.0,0.8,0.0326,250,94,0.6369426751592356,0.4583333333333333,0.42155545603821465,0.5845553524007291,0.4304397760946804,0.0
balance_scale__seed0__setting5__LogisticRegression__tuned,balance_scale,0,5,noise_imbalance,LogisticRegression,tuned,0.2,0.0,0.8,0.032,250,94,0.6496815286624203,0.46759259259259256,0.4335418616488515,0.6010917851933496,0.44956884282574544,0.0
balance_scale__seed0__setting5__RandomForest__default,balance_scale,0,5,noise_imbalance,RandomForest,default,0.2,0.0,0.8,0.5243,250,94,0.6878980891719745,0.4953703703703704,0.4702274304714864,0.6517554246227955,0.5031054085612128,0.0
