run_key,experiment,dataset_name,seed,setting_id,model_name,label_noise,missing_rate,imbalance_level,corruption_order,noise_type,imputation_strategy,train_rows_after_corruption,test_rows,fit_eval_seconds,accuracy,balanced_accuracy,macro_f1,weighted_f1,mcc,minority_recall,auroc,auprc
xgb__adult__seed0__setting46__XGBoost,xgboost_full,adult,0,46,XGBoost,0.2,0.3,0.8,noise_then_imbalance,symmetric,mean,12406,5000,0.2618,0.8028,0.5955791398032289,0.6046004298867537,0.7505066670944147,0.365404410098021,0.1979949874686716,0.8552122483437097,0.9422372819763492
xgb__adult__seed0__setting47__XGBoost,xgboost_full,adult,0,47,XGBoost,0.2,0.3,0.9,noise_then_imbalance,symmetric,mean,10970,5000,0.2522,0.7714,0.5225563909774436,0.4778437165686356,0.6819001781909712,0.1862455528033588,0.0451127819548872,0.8255698190168206,0.9288274513514948
xgb__adult__seed0__setting48__XGBoost,xgboost_full,adult,0,48,XGBoost,0.3,0.0,natural,noise_then_imbalance,symmetric,mean,15000,5000,0.2885,0.8456,0.7396403182555389,0.7636666784221064,0.8361932531612336,0.5421892768785164,0.5363408521303258,0.8821012782635879,0.9494835869313556
xgb__adult__seed0__setting49__XGBoost,xgboost_full,adult,0,49,XGBoost,0.3,0.0,0.7,noise_then_imbalance,symmetric,mean,13039,5000,0.2816,0.8252,0.6492324245621504,0.6780989422198651,0.7915147281888094,0.4576598233720249,0.3116123642439432,0.8767862552340181,0.9514337085088628
xgb__adult__seed0__setting50__XGBoost,xgboost_full,adult,0,50,XGBoost,0.3,0.0,0.8,noise_then_imbalance,symmetric,mean,11341,5000,0.2696,0.7874,0.5568319738780733,0.5411153323512137,0.7163317789503775,0.2940023631661886,0.1144527986633249,0.8609432249218014,0.9416720880552752
xgb__adult__seed0__setting51__XGBoost,xgboost_full,adult,0,51,XGBoost,0.3,0.0,0.9,noise_then_imbalance,symmetric,mean,10159,5000,0.2644,0.764,0.5071010860484545,0.4468510071624356,0.6651527174991214,0.1041106372142871,0.0142021720969089,0.8352776717848615,0.932174775687746
xgb__adult__seed0__setting52__XGBoost,xgboost_full,adult,0,52,XGBoost,0.3,0.1,natural,noise_then_imbalance,symmetric,mean,15000,5000,0.3044,0.8318,0.7259887601377006,0.745911486196649,0.8229068308720989,0.5028858226159951,0.5229741019214703,0.8677317142448548,0.947688018175763
xgb__adult__seed0__setting53__XGBoost,xgboost_full,adult,0,53,XGBoost,0.3,0.1,0.7,noise_then_imbalance,symmetric,mean,12907,5000,0.2897,0.8174,0.6272169818885016,0.6497975998899604,0.776068734520421,0.4289430293186457,0.2623224728487886,0.8651910695311336,0.9445783166078794
xgb__adult__seed0__setting54__XGBoost,xgboost_full,adult,0,54,XGBoost,0.3,0.1,0.8,noise_then_imbalance,symmetric,mean,11376,5000,0.2831,0.7758,0.5328909749173529,0.4981663149354211,0.6927114569838999,0.2184094373083605,0.0668337510442773,0.8429785788865186,0.928217068394132
xgb__adult__seed0__setting55__XGBoost,xgboost_full,adult,0,55,XGBoost,0.3,0.1,0.9,noise_then_imbalance,symmetric,mean,10130,5000,0.268,0.7666,0.512531328320802,0.4579389920786632,0.6711302421828254,0.1384836560012801,0.025062656641604,0.812889002240899,0.9163300584131776
