combination,dataset_name,model_name,seed,interaction
missing_imbalance,adult,DecisionTree,4,0.03989785700767601
noise_imbalance,adult,ExtraTrees,0,-0.018351106092733493
noise_imbalance,adult,ExtraTrees,0,0.0589218764907129
noise_imbalance,adult,ExtraTrees,0,0.1679011958837915
noise_imbalance,adult,ExtraTrees,0,-0.0221573060701723
noise_imbalance,adult,ExtraTrees,0,0.12113329084551172
noise_imbalance,adult,ExtraTrees,0,0.43380584427588054
noise_imbalance,adult,ExtraTrees,0,0.09309425225883872
noise_imbalance,adult,ExtraTrees,0,0.3825491142757357
noise_imbalance,adult,ExtraTrees,0,0.3337399924482245
noise_missing,adult,ExtraTrees,0,-0.08574042129288695
noise_missing,adult,ExtraTrees,0,-0.12458402680080916
noise_missing,adult,ExtraTrees,0,-0.09199684639914363
noise_missing,adult,ExtraTrees,0,-0.11241756231463751
noise_missing,adult,ExtraTrees,0,-0.2457045022249399
noise_missing,adult,ExtraTrees,0,-0.24792926956062789
noise_missing,adult,ExtraTrees,0,-0.15826036059365622
noise_missing,adult,ExtraTrees,0,-0.1946492594218936
noise_missing,adult,ExtraTrees,0,-0.22432628297665302
missing_imbalance,adult,ExtraTrees,0,-0.010612097776538043
missing_imbalance,adult,ExtraTrees,0,-0.02041116134364529
missing_imbalance,adult,ExtraTrees,0,0.06062403215230694
missing_imbalance,adult,ExtraTrees,0,0.022671996119609794
missing_imbalance,adult,ExtraTrees,0,-0.018993550807457682
missing_imbalance,adult,ExtraTrees,0,0.11746060136382408
missing_imbalance,adult,ExtraTrees,0,0.0290557119049486
missing_imbalance,adult,ExtraTrees,0,0.07119478556803072
missing_imbalance,adult,ExtraTrees,0,0.13991031159202916
noise_imbalance,adult,ExtraTrees,1,0.003849051440430129
noise_imbalance,adult,ExtraTrees,1,0.06703402909473977
noise_imbalance,adult,ExtraTrees,1,0.3596764077056932
noise_imbalance,adult,ExtraTrees,1,-0.02391129538102077
noise_imbalance,adult,ExtraTrees,1,0.25067249770797506
noise_imbalance,adult,ExtraTrees,1,0.5496611923260848
noise_imbalance,adult,ExtraTrees,1,0.0319683922831242
noise_imbalance,adult,ExtraTrees,1,0.3064348088498984
noise_imbalance,adult,ExtraTrees,1,0.4170957543934857
noise_missing,adult,ExtraTrees,1,-0.07587228118882372
noise_missing,adult,ExtraTrees,1,-0.02606718715925238
noise_missing,adult,ExtraTrees,1,-0.057941087586326434
noise_missing,adult,ExtraTrees,1,-0.05839711968465755
noise_missing,adult,ExtraTrees,1,-0.1590610527701134
noise_missing,adult,ExtraTrees,1,-0.12679110595586285
noise_missing,adult,ExtraTrees,1,-0.19195802073791624
noise_missing,adult,ExtraTrees,1,-0.28241908190514653
noise_missing,adult,ExtraTrees,1,-0.3524170332320318
missing_imbalance,adult,ExtraTrees,1,-0.02482004461487941
missing_imbalance,adult,ExtraTrees,1,-0.018953080130011513
missing_imbalance,adult,ExtraTrees,1,0.1442170167540262
