dataset_name,task_type,n_classes,seed,label_noise,imbalance_level,original_train_rows,original_minority_count,original_majority_count,clean_minority_class,clean_majority_class,observed_majority_class_after_noise,post_imbalance_rows,clean_minority_retained_count,clean_majority_retained_count,clean_minority_retention_rate,effective_clean_minority_ratio,mislabeled_retained_count,mislabeled_retained_ratio,mislabeled_minority_retained_count,mislabeled_majority_retained_count,mislabeled_minority_retained_ratio,observed_majority_ratio_after,observed_minority_count_after,imbalance_feasible
mushroom,binary,2,2,0.2,0.9,6093,2937,3156,1,0,0,3428,850,2578,0.28941096356826695,0.24795799299883314,641,0.18698949824970829,574,67,0.6752941176470588,0.8999416569428238,343,True
mushroom,binary,2,2,0.3,0.7,6093,2937,3156,1,0,0,4426,1793,2633,0.6104868913857678,0.40510619069136916,1305,0.2948486217803886,885,420,0.4935861684327942,0.6999548124717578,1328,True
mushroom,binary,2,2,0.3,0.8,6093,2937,3156,1,0,0,3872,1433,2439,0.48791283622744297,0.37009297520661155,1111,0.2869318181818182,885,226,0.6175854849965108,0.800103305785124,774,True
mushroom,binary,2,2,0.3,0.9,6093,2937,3156,1,0,0,3442,1112,2330,0.37861763704460333,0.3230679837303893,1002,0.29110981987216733,885,117,0.795863309352518,0.9000581057524695,344,True
mushroom,binary,2,3,0.1,0.7,6093,2937,3156,1,0,0,4536,1550,2986,0.5277494041538985,0.34171075837742504,439,0.09678130511463845,314,125,0.20258064516129032,0.6999559082892416,1361,True
mushroom,binary,2,3,0.1,0.8,6093,2937,3156,1,0,0,3969,1031,2938,0.35103847463398025,0.2597631645250693,391,0.09851347946586042,314,77,0.30455868089233756,0.799949609473419,794,True
mushroom,binary,2,3,0.1,0.9,6093,2937,3156,1,0,0,3528,634,2894,0.21586653047327203,0.17970521541950113,347,0.09835600907029478,314,33,0.4952681388012618,0.8999433106575964,353,True
mushroom,binary,2,3,0.2,0.7,6093,2937,3156,1,0,0,4470,1656,2814,0.5638406537282942,0.3704697986577181,877,0.19619686800894853,596,281,0.35990338164251207,0.7,1341,True
mushroom,binary,2,3,0.2,0.8,6093,2937,3156,1,0,0,3911,1232,2679,0.41947565543071164,0.3150089491178727,742,0.18972129890053693,596,146,0.4837662337662338,0.8000511378164152,782,True
mushroom,binary,2,3,0.2,0.9,6093,2937,3156,1,0,0,3477,878,2599,0.2989445011916922,0.2525165372447512,662,0.1903940178314639,596,66,0.6788154897494305,0.899913718723037,348,True
mushroom,binary,2,3,0.3,0.7,6093,2937,3156,1,0,0,4431,1789,2642,0.6091249574395642,0.4037463326562853,1314,0.2965470548408937,887,427,0.4958077138065959,0.7000677048070413,1329,True
mushroom,binary,2,3,0.3,0.8,6093,2937,3156,1,0,0,3878,1410,2468,0.48008171603677224,0.3635894791129448,1140,0.29396596183599794,887,253,0.6290780141843971,0.7998968540484785,776,True
mushroom,binary,2,3,0.3,0.9,6093,2937,3156,1,0,0,3447,1122,2325,0.38202247191011235,0.32550043516100957,997,0.28923701769654775,887,110,0.7905525846702317,0.8999129677980853,345,True
mushroom,binary,2,4,0.1,0.7,6093,2937,3156,1,0,0,4456,1475,2981,0.5022131426625809,0.33101436265709155,434,0.0973967684021544,286,148,0.19389830508474576,0.6999551166965888,1337,True
mushroom,binary,2,4,0.1,0.8,6093,2937,3156,1,0,0,3899,970,2929,0.3302689819543752,0.24878173890741215,382,0.0979738394460118,286,96,0.2948453608247423,0.7999487047961016,780,True
mushroom,binary,2,4,0.1,0.9,6093,2937,3156,1,0,0,3466,591,2875,0.20122574055158324,0.1705135603000577,328,0.0946335833814195,286,42,0.48392554991539766,0.8998845931909982,347,True
mushroom,binary,2,4,0.2,0.7,6093,2937,3156,1,0,0,4439,1628,2811,0.5543071161048689,0.36674926785312006,874,0.19689119170984457,585,289,0.3593366093366093,0.6999324172110836,1332,True
mushroom,binary,2,4,0.2,0.8,6093,2937,3156,1,0,0,3884,1179,2705,0.4014300306435138,0.30355303810504636,768,0.19773429454170957,585,183,0.4961832061068702,0.7999485066941298,777,True
mushroom,binary,2,4,0.2,0.9,6093,2937,3156,1,0,0,3452,862,2590,0.29349676540687775,0.24971031286210893,653,0.1891657010428737,585,68,0.6786542923433875,0.9000579374275782,345,True
mushroom,binary,2,4,0.3,0.7,6093,2937,3156,1,0,1,4376,2444,1932,0.8321416411304052,0.5585009140767825,1335,0.30507312614259596,358,977,0.14648117839607203,0.6999542961608776,1313,True
mushroom,binary,2,4,0.3,0.8,6093,2937,3156,1,0,1,3829,2309,1520,0.7861763704460334,0.6030295116218334,1200,0.31339775398276315,223,977,0.09657860545690775,0.7999477670410029,766,True
mushroom,binary,2,4,0.3,0.9,6093,2937,3156,1,0,1,3403,2173,1230,0.7398706162751106,0.6385542168674698,1064,0.3126652953276521,87,977,0.04003681546249425,0.9000881575080811,340,True
allhypo,multiclass,3,0,0.1,0.7,2827,71,2610,2,1,1,2827,71,2610,1.0,0.025114962858153518,283,0.10010611956137248,12,252,0.16901408450704225,0.8404669260700389,180,True
allhypo,multiclass,3,0,0.1,0.8,2827,71,2610,2,1,1,2827,71,2610,1.0,0.025114962858153518,283,0.10010611956137248,12,252,0.16901408450704225,0.8404669260700389,180,True
allhypo,multiclass,3,0,0.1,0.9,2827,71,2610,2,1,1,2640,47,2506,0.6619718309859155,0.017803030303030303,173,0.06553030303030304,11,148,0.23404255319148937,0.9,101,True
allhypo,multiclass,3,0,0.2,0.7,2827,71,2610,2,1,1,2827,71,2610,1.0,0.025114962858153518,565,0.19985850725150336,15,520,0.2112676056338028,0.7492041032897064,317,True
allhypo,multiclass,3,0,0.2,0.8,2827,71,2610,2,1,1,2648,61,2469,0.8591549295774648,0.023036253776435044,422,0.1593655589123867,15,379,0.2459016393442623,0.7998489425981873,239,True
allhypo,multiclass,3,0,0.2,0.9,2827,71,2610,2,1,1,2353,27,2262,0.38028169014084506,0.011474713132171696,206,0.08754781130471738,10,172,0.37037037037037035,0.9001274968125796,109,True
allhypo,multiclass,3,0,0.3,0.7,2827,71,2610,2,1,1,2660,59,2485,0.8309859154929577,0.02218045112781955,710,0.2669172932330827,21,654,0.3559322033898305,0.7,359,True
