combination,dataset_name,model_name,seed,mitigation,interaction
all_three_excess_over_singles,allhypo,RandomForest,2,random_oversample,-0.05069752441500225
noise_imbalance,allhypo,RandomForest,3,class_weight,0.21256313335932026
all_three_excess_over_singles,allhypo,RandomForest,3,class_weight,-0.012262405265584198
noise_imbalance,allhypo,RandomForest,3,none,0.13240928870652502
all_three_excess_over_singles,allhypo,RandomForest,3,none,-0.11711151425770261
noise_imbalance,allhypo,RandomForest,3,random_oversample,0.07790727287116872
all_three_excess_over_singles,allhypo,RandomForest,3,random_oversample,-0.011938498168586886
noise_imbalance,allhypo,RandomForest,4,class_weight,0.03965454972241367
all_three_excess_over_singles,allhypo,RandomForest,4,class_weight,-0.1000953411438672
noise_imbalance,allhypo,RandomForest,4,none,0.03324838099881733
all_three_excess_over_singles,allhypo,RandomForest,4,none,-0.11439200669302135
noise_imbalance,allhypo,RandomForest,4,random_oversample,0.03363576784703348
all_three_excess_over_singles,allhypo,RandomForest,4,random_oversample,-0.05484634755319173
noise_imbalance,allhypo,XGBoost,0,class_weight,0.050752528600789604
all_three_excess_over_singles,allhypo,XGBoost,0,class_weight,-0.02958529381756536
noise_imbalance,allhypo,XGBoost,0,none,0.14353512635152388
all_three_excess_over_singles,allhypo,XGBoost,0,none,0.15864092022303555
noise_imbalance,allhypo,XGBoost,0,random_oversample,-0.0015835851547281177
all_three_excess_over_singles,allhypo,XGBoost,0,random_oversample,-0.007661431303821575
noise_imbalance,allhypo,XGBoost,1,class_weight,-0.037902388585096425
all_three_excess_over_singles,allhypo,XGBoost,1,class_weight,-0.10812390517319481
noise_imbalance,allhypo,XGBoost,1,none,0.014782476780263454
all_three_excess_over_singles,allhypo,XGBoost,1,none,0.06566501635997968
noise_imbalance,allhypo,XGBoost,1,random_oversample,-0.0014053758688468143
all_three_excess_over_singles,allhypo,XGBoost,1,random_oversample,-0.03929715771551301
noise_imbalance,allhypo,XGBoost,2,class_weight,-0.0005925320371518161
all_three_excess_over_singles,allhypo,XGBoost,2,class_weight,-0.10937272794712305
noise_imbalance,allhypo,XGBoost,2,none,0.07941276098746919
all_three_excess_over_singles,allhypo,XGBoost,2,none,-0.11205703026278457
noise_imbalance,allhypo,XGBoost,2,random_oversample,0.005169826393191079
all_three_excess_over_singles,allhypo,XGBoost,2,random_oversample,-0.10874204414047861
noise_imbalance,allhypo,XGBoost,3,class_weight,0.005140971128585248
all_three_excess_over_singles,allhypo,XGBoost,3,class_weight,-0.17662309250991304
noise_imbalance,allhypo,XGBoost,3,none,0.16010608853746122
all_three_excess_over_singles,allhypo,XGBoost,3,none,0.006531949891946387
noise_imbalance,allhypo,XGBoost,3,random_oversample,-0.01642352950474757
all_three_excess_over_singles,allhypo,XGBoost,3,random_oversample,-0.1375709228314017
noise_imbalance,allhypo,XGBoost,4,class_weight,-0.008988920218521712
all_three_excess_over_singles,allhypo,XGBoost,4,class_weight,-0.10037979995367752
noise_imbalance,allhypo,XGBoost,4,none,0.09044410886151655
all_three_excess_over_singles,allhypo,XGBoost,4,none,0.023288450178701847
noise_imbalance,allhypo,XGBoost,4,random_oversample,0.042494231383830905
all_three_excess_over_singles,allhypo,XGBoost,4,random_oversample,-0.01423941743005197
noise_imbalance,clean2,LightGBM,0,class_weight,-0.023753573733496514
all_three_excess_over_singles,clean2,LightGBM,0,class_weight,-0.10540045780635976
noise_imbalance,clean2,LightGBM,0,none,0.02601968526740328
