run_key,dataset_name,seed,setting_name,label_noise,missing_rate,imbalance_level,model_name,mitigation,fit_eval_seconds,train_rows_after_corruption,n_label_flips_before_sampling,observed_majority_class,desired_nonmajority,actual_nonmajority,imbalance_feasible,accuracy,balanced_accuracy,macro_f1,weighted_f1,mcc,minority_recall
adult__seed0__imbalance_only__XGBoost__none,adult,0,imbalance_only,0.0,0.0,0.8,XGBoost,none,0.2578,14264,0,1,2853,2853,True,0.8628,0.7612516698003224,0.7889261423649478,0.8540090608899463,0.5949568100849568,0.5664160401002506
adult__seed0__imbalance_only__XGBoost__class_weight,adult,0,imbalance_only,0.0,0.0,0.8,XGBoost,class_weight,0.2676,14264,0,1,2853,2853,True,0.8274,0.828144842780103,0.7882021375239108,0.8356915050797865,0.5953989584249988,0.8295739348370927
adult__seed0__imbalance_only__XGBoost__random_oversample,adult,0,imbalance_only,0.0,0.0,0.8,XGBoost,random_oversample,0.3367,14264,0,1,2853,2853,True,0.8276,0.8274176105528085,0.7881338852273574,0.8357931507961742,0.5947207000134651,0.8270676691729323
adult__seed0__imbalance_only__LightGBM__none,adult,0,imbalance_only,0.0,0.0,0.8,LightGBM,none,0.3122,14264,0,1,2853,2853,True,0.8624,0.765854727976045,0.791032829957339,0.8546819898242708,0.5955260611322074,0.5806182121971596
adult__seed0__imbalance_only__LightGBM__class_weight,adult,0,imbalance_only,0.0,0.0,0.8,LightGBM,class_weight,0.3455,14264,0,1,2853,2853,True,0.831,0.829938923915978,0.7916468484600927,0.8388416542184904,0.6007102391161573,0.8279030910609858
adult__seed0__imbalance_only__LightGBM__random_oversample,adult,0,imbalance_only,0.0,0.0,0.8,LightGBM,random_oversample,0.4305,14264,0,1,2853,2853,True,0.8322,0.8290103600661747,0.7923217874643451,0.8397533811968493,0.6007525009873215,0.822890559732665
adult__seed0__noise_imbalance__LogisticRegression__none,adult,0,noise_imbalance,0.2,0.0,0.8,LogisticRegression,none,1.0355,12194,3000,1,2439,2439,True,0.7728,0.526625310756952,0.4863096084340727,0.6862544291145244,0.19477933208950096,0.05430242272347535
adult__seed0__noise_imbalance__LogisticRegression__class_weight,adult,0,noise_imbalance,0.2,0.0,0.8,LogisticRegression,class_weight,1.045,12194,3000,1,2439,2439,True,0.7118,0.7544420917312125,0.680852256033476,0.7326504710474526,0.43655839775339006,0.8362573099415205
adult__seed0__noise_imbalance__LogisticRegression__random_oversample,adult,0,noise_imbalance,0.2,0.0,0.8,LogisticRegression,random_oversample,1.0468,12194,3000,1,2439,2439,True,0.711,0.7539161911264268,0.6801426019463002,0.7319226272701519,0.43558510695580777,0.8362573099415205
adult__seed0__noise_imbalance__RandomForest__none,adult,0,noise_imbalance,0.2,0.0,0.8,RandomForest,none,1.092,12194,3000,1,2439,2439,True,0.8138,0.6423108125296149,0.6671252543667195,0.7822907822728145,0.4107508628415947,0.3132832080200501
adult__seed0__noise_imbalance__RandomForest__class_weight,adult,0,noise_imbalance,0.2,0.0,0.8,RandomForest,class_weight,1.118,12194,3000,1,2439,2439,True,0.8056,0.6231810132747067,0.6430702305590049,0.7686044863868748,0.37536151998619105,0.2731829573934837
adult__seed0__noise_imbalance__RandomForest__random_oversample,adult,0,noise_imbalance,0.2,0.0,0.8,RandomForest,random_oversample,1.5775,12194,3000,1,2439,2439,True,0.8208,0.6950000560169817,0.7180914083574319,0.8067788138645665,0.4574475983474253,0.45363408521303256
adult__seed0__noise_imbalance__XGBoost__none,adult,0,noise_imbalance,0.2,0.0,0.8,XGBoost,none,0.1974,12194,3000,1,2439,2439,True,0.8212,0.6400194983031248,0.6663970976099702,0.7848399524627059,0.4419905764299701,0.29239766081871343
adult__seed0__noise_imbalance__XGBoost__class_weight,adult,0,noise_imbalance,0.2,0.0,0.8,XGBoost,class_weight,0.2383,12194,3000,1,2439,2439,True,0.7986,0.79261074502366,0.754304801899158,0.8086775226955754,0.5286969691769366,0.7811194653299917
adult__seed0__noise_imbalance__XGBoost__random_oversample,adult,0,noise_imbalance,0.2,0.0,0.8,XGBoost,random_oversample,0.3076,12194,3000,1,2439,2439,True,0.8042,0.7885636828507415,0.756926900544866,0.812797057996149,0.5281123985195613,0.758563074352548
adult__seed0__noise_imbalance__LightGBM__none,adult,0,noise_imbalance,0.2,0.0,0.8,LightGBM,none,0.2827,12194,3000,1,2439,2439,True,0.8222,0.644397939365901,0.6717564721020693,0.787577988705321,0.4452311544810101,0.3032581453634085
adult__seed0__noise_imbalance__LightGBM__class_weight,adult,0,noise_imbalance,0.2,0.0,0.8,LightGBM,class_weight,0.2822,12194,3000,1,2439,2439,True,0.8014,0.7993174056185253,0.758715767222385,0.8116093053196102,0.5392507715994512,0.7953216374269005
