dataset_name,model_name,seed,variant,setting_name,clean_macro_f1,macro_f1,macro_f1_drop
credit_g,LogisticRegression,4,tuned,missing_only,0.7193347193347194,0.6710526315789473,0.04828208775577203
credit_g,LogisticRegression,4,tuned,imbalance_only,0.7193347193347194,0.6853146853146853,0.03402003402003406
credit_g,LogisticRegression,4,tuned,noise_missing,0.7193347193347194,0.6386946386946387,0.08064008064008066
credit_g,LogisticRegression,4,tuned,noise_imbalance,0.7193347193347194,0.5365270426395121,0.18280767669520726
credit_g,LogisticRegression,4,tuned,missing_imbalance,0.7193347193347194,0.5101072607260726,0.20922745860864678
credit_g,LogisticRegression,4,tuned,all_three,0.7193347193347194,0.4986449864498645,0.22068973288485488
credit_g,RandomForest,0,default,clean,0.655561829474873,0.655561829474873,0.0
credit_g,RandomForest,0,default,noise_only,0.655561829474873,0.6262078507509317,0.0293539787239413
credit_g,RandomForest,0,default,missing_only,0.655561829474873,0.6456916099773242,0.009870219497548738
credit_g,RandomForest,0,default,imbalance_only,0.655561829474873,0.5311120917917034,0.12444973768316958
credit_g,RandomForest,0,default,noise_missing,0.655561829474873,0.6520294540229885,0.003532375451884451
credit_g,RandomForest,0,default,noise_imbalance,0.655561829474873,0.4531534815895005,0.20240834788537249
credit_g,RandomForest,0,default,missing_imbalance,0.655561829474873,0.4991987179487179,0.15636311152615506
credit_g,RandomForest,0,default,all_three,0.655561829474873,0.410377358490566,0.24518447098430696
credit_g,RandomForest,0,tuned,clean,0.6352393524630029,0.6352393524630029,0.0
credit_g,RandomForest,0,tuned,noise_only,0.6352393524630029,0.600500243173765,0.034739109289237846
credit_g,RandomForest,0,tuned,missing_only,0.6352393524630029,0.6338813303099018,0.0013580221531011016
credit_g,RandomForest,0,tuned,imbalance_only,0.6352393524630029,0.5420869898028924,0.09315236266011051
credit_g,RandomForest,0,tuned,noise_missing,0.6352393524630029,0.6491228070175439,-0.013883454554540986
credit_g,RandomForest,0,tuned,noise_imbalance,0.6352393524630029,0.4512763462521422,0.1839630062108607
credit_g,RandomForest,0,tuned,missing_imbalance,0.6352393524630029,0.5016035364479501,0.1336358160150528
credit_g,RandomForest,0,tuned,all_three,0.6352393524630029,0.4243345307175094,0.21090482174549352
credit_g,RandomForest,1,default,clean,0.6931556983776305,0.6931556983776305,0.0
credit_g,RandomForest,1,default,noise_only,0.6931556983776305,0.6429771505376345,0.05017854783999598
credit_g,RandomForest,1,default,missing_only,0.6931556983776305,0.6220710506424793,0.07108464773515122
credit_g,RandomForest,1,default,imbalance_only,0.6931556983776305,0.5449029126213591,0.14825278575627132
credit_g,RandomForest,1,default,noise_missing,0.6931556983776305,0.5809788334450723,0.11217686493255818
credit_g,RandomForest,1,default,noise_imbalance,0.6931556983776305,0.4770028580688883,0.21615284030874216
credit_g,RandomForest,1,default,missing_imbalance,0.6931556983776305,0.4748512078422219,0.21830449053540857
credit_g,RandomForest,1,default,all_three,0.6931556983776305,0.4258937437934458,0.26726195458418467
credit_g,RandomForest,1,tuned,clean,0.6781479390175043,0.6781479390175043,0.0
