dataset_name,seed,label_noise,imbalance_level,original_train_rows,original_minority_count,post_imbalance_rows,clean_minority_retained_count,clean_minority_retention_rate,mislabeled_retained_count,mislabeled_retained_ratio,minority_mislabeled_retained_count,effective_clean_minority_ratio,observed_majority_ratio_after,observed_minority_count_after
diabetes,4,0.3,0.7,576,201,457,136,0.6766169154228856,119,0.2603938730853392,59,0.2975929978118162,0.700218818380744,137
diabetes,4,0.3,0.8,576,201,400,102,0.5074626865671642,96,0.24,59,0.255,0.8,80
diabetes,4,0.3,0.9,576,201,356,77,0.38308457711442784,77,0.21629213483146068,59,0.21629213483146068,0.898876404494382,36
electricity,0,0.1,0.7,15000,6368,12000,3771,0.5921796482412061,1097,0.09141666666666666,634,0.31425,0.7,3600
electricity,0,0.1,0.8,15000,6368,10500,2455,0.3855213567839196,913,0.08695238095238095,634,0.2338095238095238,0.8,2100
electricity,0,0.1,0.9,15000,6368,9333,1453,0.22817211055276382,748,0.08014571948998178,634,0.15568413157612773,0.9000321440051431,933
electricity,0,0.2,0.7,15000,6368,11757,3975,0.624214824120603,2150,0.18286977970570722,1299,0.33809645317683085,0.7000085055711491,3527
electricity,0,0.2,0.8,15000,6368,10288,2832,0.44472361809045224,1824,0.17729393468118196,1299,0.27527216174183516,0.7999611197511665,2058
electricity,0,0.2,0.9,15000,6368,9144,1974,0.30998743718592964,1538,0.16819772528433946,1299,0.2158792650918635,0.9000437445319335,914
electricity,0,0.3,0.7,15000,6368,11411,4083,0.6411746231155779,3196,0.28008062395933747,1928,0.3578126369292788,0.7000262904215231,3423
electricity,0,0.3,0.8,15000,6368,9985,3177,0.49890075376884424,2676,0.2680020030045068,1928,0.31817726589884826,0.8,1997
electricity,0,0.3,0.9,15000,6368,8876,2486,0.3903894472361809,2258,0.254393871113114,1928,0.2800811176205498,0.8999549346552501,888
electricity,1,0.1,0.7,15000,6368,12071,3838,0.6027010050251256,1101,0.09121033882859747,659,0.31795211664319445,0.7000248529533593,3621
electricity,1,0.1,0.8,15000,6368,10562,2480,0.38944723618090454,950,0.08994508615792464,659,0.2348040143912138,0.8000378716152244,2112
electricity,1,0.1,0.9,15000,6368,9389,1486,0.2333542713567839,771,0.08211737139205454,659,0.15827031632761743,0.8999893492384705,939
electricity,1,0.2,0.7,15000,6368,11749,3957,0.6213881909547738,2160,0.183845433653928,1296,0.3367946208187931,0.6999744659119925,3525
