combination,dataset_name,model_name,seed,label_noise,missing_rate,imbalance_level,metric,p_clean,actual_drop,expected_drop,interaction,bounded_interaction,relative_clean_interaction,pure_three_way_residual
noise_imbalance,kc2,HistGradientBoosting,0,0.2,0.0,0.8,macro_f1,0.6539622641509434,0.05093196112064036,0.041448537325412316,0.009483423795228041,0.009483423795228041,0.014071149528193902,
missing_imbalance,kc2,HistGradientBoosting,0,0.0,0.2,0.8,macro_f1,0.6539622641509434,0.05584252144931057,0.027223737283037286,0.02861878416627328,0.02861878416627328,0.04246348154570224,
all_three_excess_over_singles,kc2,HistGradientBoosting,0,0.2,0.2,0.8,macro_f1,0.6539622641509434,0.08488331678252237,0.05762278304317603,0.027260533739346338,0.027260533739346338,0.0404481603635318,-0.004326347311284673
noise_missing,kc2,XGBoost,0,0.2,0.2,natural,macro_f1,0.6684190031152648,0.03591075229018226,0.013666252642707266,0.02224449964747499,0.02224449964747499,0.0323124427809418,
noise_imbalance,kc2,XGBoost,0,0.2,0.0,0.8,macro_f1,0.6684190031152648,0.1795580842983988,0.05285126028726195,0.12670682401113686,0.12670682401113686,0.18405480301641503,
missing_imbalance,kc2,XGBoost,0,0.0,0.2,0.8,macro_f1,0.6684190031152648,0.02350657609274598,-0.01675923973930693,0.04026581583205291,0.04026581583205291,0.05849027358315244,
all_three_excess_over_singles,kc2,XGBoost,0,0.2,0.2,0.8,macro_f1,0.6684190031152648,0.06538870008496178,0.02487913659533114,0.04050956348963064,0.04050956348963064,0.058844342335576054,-0.14870757600103413
noise_missing,kc2,LightGBM,0,0.2,0.2,natural,macro_f1,0.6786792452830188,-0.0033595896684375237,0.11643765558309416,-0.11979724525153168,-0.11979724525153168,-0.17146243581774723,
noise_imbalance,kc2,LightGBM,0,0.2,0.0,0.8,macro_f1,0.6786792452830188,0.12124681285058636,0.12757191003893076,-0.006325097188344397,-0.006325097188344397,-0.009052934134006294,
missing_imbalance,kc2,LightGBM,0,0.0,0.2,0.8,macro_f1,0.6786792452830188,0.09287872789296425,0.04627371656542123,0.04660501132754302,0.04660501132754302,0.06670444505427438,
all_three_excess_over_singles,kc2,LightGBM,0,0.2,0.2,0.8,macro_f1,0.6786792452830188,0.09174230834608188,0.14514164109372307,-0.05339933274764119,-0.05339933274764119,-0.076428966665541,0.026117998364691863
noise_missing,kc2,LogisticRegression,1,0.2,0.2,natural,macro_f1,0.7018307768431469,-0.006037971165773204,-0.08520112824536819,0.07916315707959498,0.07916315707959498,0.10966996645087226,
noise_imbalance,kc2,LogisticRegression,1,0.2,0.0,0.8,macro_f1,0.7018307768431469,0.009631528722846117,-0.0757163929681739,0.08534792169102001,0.08534792169102001,0.11823813063815375,
missing_imbalance,kc2,LogisticRegression,1,0.0,0.2,0.8,macro_f1,0.7018307768431469,0.010381724103771584,-0.00948473527719429,0.019866459380965873,0.019866459380965873,0.02752232243109639,
all_three_excess_over_singles,kc2,LogisticRegression,1,0.2,0.2,0.8,macro_f1,0.7018307768431469,0.040411603910815996,-0.08520112824536819,0.12561273215618418,0.12561273215618418,0.1740196403172758,-0.058764805995396685
noise_missing,kc2,LinearSVM,1,0.2,0.2,natural,macro_f1,0.7277585353785254,-0.00793223662954512,-0.03293821504460892,0.0250059784150638,0.0250059784150638,0.03344124771829644,
noise_imbalance,kc2,LinearSVM,1,0.2,0.0,0.8,macro_f1,0.7277585353785254,0.03555928725822466,-0.05886597357998746,0.09442526083821212,0.09442526083821212,0.12627774391155935,
missing_imbalance,kc2,LinearSVM,1,0.0,0.2,0.8,macro_f1,0.7277585353785254,0.055531679665431155,0.025927758535378542,0.029603921130052613,0.029603921130052613,0.03959021492822774,
all_three_excess_over_singles,kc2,LinearSVM,1,0.2,0.2,0.8,macro_f1,0.7277585353785254,0.08968045730044727,-0.03293821504460892,0.12261867234505619,0.12261867234505619,0.16398164185847103,-0.026416488038272345
noise_missing,kc2,KNN,1,0.2,0.2,natural,macro_f1,0.7200074342533223,0.08996892334189743,0.012801996130400228,0.0771669272114972,0.0771669272114972,0.10427858375417498,
noise_imbalance,kc2,KNN,1,0.2,0.0,0.8,macro_f1,0.7200074342533223,0.044556983802871764,0.037149175760545994,0.00740780804232577,0.00740780804232577,0.010010450840673446,
missing_imbalance,kc2,KNN,1,0.0,0.2,0.8,macro_f1,0.7200074342533223,0.016611207838227893,-0.024347179630145765,0.04095838746837366,0.04095838746837366,0.055348616206405056,
all_three_excess_over_singles,kc2,KNN,1,0.2,0.2,0.8,macro_f1,0.7200074342533223,0.16519308560637447,0.012801996130400228,0.15239108947597424,0.15239108947597424,0.2059318358466749,0.026857966753777607
noise_missing,kc2,DecisionTree,1,0.2,0.2,natural,macro_f1,0.6593273231622746,0.0856148160881377,-0.0548051830321048,0.1404199991202425,0.1404199991202425,0.2067044771091882,
noise_imbalance,kc2,DecisionTree,1,0.2,0.0,0.8,macro_f1,0.6593273231622746,0.11518812902308051,-0.0026081607086930747,0.11779628973177358,0.11779628973177358,0.17340137179148166,
missing_imbalance,kc2,DecisionTree,1,0.0,0.2,0.8,macro_f1,0.6593273231622746,0.0,-0.052197022323411724,0.052197022323411724,0.052197022323411724,0.07683633580412183,
all_three_excess_over_singles,kc2,DecisionTree,1,0.2,0.2,0.8,macro_f1,0.6593273231622746,-0.009864596029644512,-0.0548051830321048,0.044940587002460286,0.044940587002460286,0.06615454063184366,-0.2654727241729675
noise_missing,kc2,RandomForest,1,0.2,0.2,natural,macro_f1,0.7281132075471699,0.0852004349615001,0.02250366782768476,0.06269676713381533,0.06269676713381533,0.08380652353322099,
noise_imbalance,kc2,RandomForest,1,0.2,0.0,0.8,macro_f1,0.7281132075471699,0.03172208073997429,0.030808971346913183,0.0009131093930611067,0.0009131093930611067,0.0012205497561724754,
missing_imbalance,kc2,RandomForest,1,0.0,0.2,0.8,macro_f1,0.7281132075471699,0.008105773293847651,-0.008305303519228424,0.016411076813076075,0.016411076813076075,0.02193662222176625,
all_three_excess_over_singles,kc2,RandomForest,1,0.2,0.2,0.8,macro_f1,0.7281132075471699,-0.02610818082055988,0.02250366782768476,-0.04861184864824464,-0.04861184864824464,-0.06497926805440013,-0.12863280198819715
noise_missing,kc2,ExtraTrees,1,0.2,0.2,natural,macro_f1,0.6956602546231763,0.06482289552494758,0.049657674283915876,0.015165221241031701,0.015165221241031701,0.021190531600803787,
noise_imbalance,kc2,ExtraTrees,1,0.2,0.0,0.8,macro_f1,0.6956602546231763,0.007565016527938173,0.08175595503926503,-0.07419093851132685,-0.07419093851132685,-0.10366782007531122,
missing_imbalance,kc2,ExtraTrees,1,0.0,0.2,0.8,macro_f1,0.6956602546231763,0.034550740394949764,-0.03209828075534915,0.06664902115029891,0.06664902115029891,0.09312941541708543,
all_three_excess_over_singles,kc2,ExtraTrees,1,0.2,0.2,0.8,macro_f1,0.6956602546231763,-0.012208493385743813,0.049657674283915876,-0.06186616766965969,-0.06186616766965969,-0.08644628127662993,-0.06948947154966345
